Дата;Регион;Значение
2017-02-01;Республика Саха (Якутия);32.80
2017-02-01;Республика Северная Осетия-Алания;17.10
2017-02-01;Республика Татарстан;34.20
2017-02-01;Республика Тыва;29.20
2017-02-01;Республика Хакасия;25.60
2017-02-01;Ростовская область;31.60
2017-02-01;Рязанская область;27.80
2017-02-01;Самарская область;35.00
2017-02-01;Санкт-Петербург;41.90
2017-02-01;Саратовская область;34.10
2017-02-01;Сахалинская область;41.50
2017-02-01;Свердловская область;39.10
2017-02-01;Смоленская область;30.70
2017-02-01;Ставропольский край;27.70
2017-02-01;Тамбовская область;23.50
2017-02-01;Тверская область;32.90
2017-02-01;Томская область;42.60
2017-02-01;Тульская область;30.40
2017-02-01;Тюменская область;43.60
2017-02-01;Удмуртская Республика;42.00
2017-02-01;Ульяновская область;28.70
2017-02-01;Хабаровский край;40.40
2017-02-01;Ханты-Мансийский АО - Югра;38.10
2017-02-01;Челябинская область;33.60
2017-02-01;Чеченская Республика;9.40
2017-02-01;Чувашская Республика;29.70
2017-02-01;Чукотский АО;36.60
2017-02-01;Ямало-Ненецкий АО;37.70
2017-02-01;Ярославская область;35.90
2017-03-01;Россия;36.20
2017-03-01;Адыгея;25.60
2017-03-01;Алтай;37.00
2017-03-01;Алтайский край;34.60
2017-03-01;Амурская область;35.20
2017-03-01;Архангельская область;43.10
2017-03-01;Астраханская область;30.60
2017-03-01;Белгородская область;27.40
2017-03-01;Брянская область;26.80
2017-03-01;Владимирская область;28.30
2017-03-01;Волгоградская область;33.60
2017-03-01;Вологодская область;37.90
2017-03-01;Воронежская область;34.10
2017-03-01;Еврейская автономная область;37.00
2017-03-01;Забайкальский край;36.70
2017-03-01;Ивановская область;24.90
2017-03-01;Иркутская область;39.10
2017-03-01;Кабардино-Балкарская Республика;15.60
2017-03-01;Калининградская область;39.90
2017-03-01;Калужская область;31.30
2017-03-01;Камчатский край;38.70
2017-03-01;Кемеровская область;36.00
2017-03-01;Кировская область;37.00
2017-03-01;Костромская область;28.30
2017-03-01;Краснодарский край;30.20
2017-03-01;Красноярский край;33.90
2017-03-01;Курганская область;36.10
2017-03-01;Курская область;29.70
2017-03-01;Липецкая область;30.40
2017-03-01;Магаданская область;38.00
2017-03-01;Мордовия;23.00
2017-03-01;Москва;40.60
2017-03-01;Мурманская область;47.30
2017-03-01;Нижегородская область;35.40
2017-03-01;Новгородская область;37.70
2017-03-01;Новосибирская область;32.90
2017-03-01;Омская область;34.00
2017-03-01;Оренбургская область;31.00
2017-03-01;Орловская область;33.80
2017-03-01;Пензенская область;30.70
2017-03-01;Пермский край;42.90
2017-03-01;Приморский край;33.20
2017-03-01;Псковская область;35.80
2017-03-01;Республика Башкортостан;36.30
2017-03-01;Республика Бурятия;40.30
2017-03-01;Республика Дагестан;11.40
2017-03-01;Республика Ингушетия;9.20
2017-03-01;Республика Калмыкия;26.60
2017-03-01;Республика Карачаево-Черкессия;17.00
2017-03-01;Республика Карелия;48.00
2017-03-01;Республика Коми;45.80
2017-03-01;Республика Марий Эл;32.20
2017-03-01;Республика Саха (Якутия);32.60
2017-03-01;Республика Северная Осетия-Алания;16.90
2017-03-01;Республика Татарстан;34.30
2017-03-01;Республика Тыва;29.10
2017-03-01;Республика Хакасия;26.30
2017-03-01;Ростовская область;30.60
2017-03-01;Рязанская область;27.60
2017-03-01;Самарская область;34.90
2017-03-01;Санкт-Петербург;41.60
2017-03-01;Саратовская область;33.90
2017-03-01;Сахалинская область;42.00
2017-03-01;Свердловская область;38.90
2017-03-01;Смоленская область;30.40
2017-03-01;Ставропольский край;27.20
2017-03-01;Тамбовская область;23.60
2017-03-01;Тверская область;33.10
2017-03-01;Томская область;42.40
2017-03-01;Тульская область;30.50
2017-03-01;Тюменская область;43.10
2017-03-01;Удмуртская Республика;42.10
2017-03-01;Ульяновская область;28.50
2017-03-01;Хабаровский край;40.40
2017-03-01;Ханты-Мансийский АО - Югра;38.10
2017-03-01;Челябинская область;33.60
2017-03-01;Чеченская Республика;9.30
2017-03-01;Чувашская Республика;29.30
2017-03-01;Чукотский АО;36.20
2017-03-01;Ямало-Ненецкий АО;38.00
2017-03-01;Ярославская область;36.00
2017-04-01;Россия;36.00
2017-04-01;Адыгея;25.70
2017-04-01;Алтай;37.30
2017-04-01;Алтайский край;34.10
2017-04-01;Амурская область;35.30
2017-04-01;Архангельская область;42.90
2017-04-01;Астраханская область;30.20
2017-04-01;Белгородская область;27.30
2017-04-01;Брянская область;26.70
2017-04-01;Владимирская область;27.70
2017-04-01;Волгоградская область;33.20
2017-04-01;Вологодская область;37.70
2017-04-01;Воронежская область;33.70
2017-04-01;Еврейская автономная область;36.90
2017-04-01;Забайкальский край;36.90
2017-04-01;Ивановская область;25.20
2017-04-01;Иркутская область;39.00
2017-04-01;Кабардино-Балкарская Республика;15.70
2017-04-01;Калининградская область;40.80
2017-04-01;Калужская область;31.10
2017-04-01;Камчатский край;38.30
2017-04-01;Кемеровская область;35.80
2017-04-01;Кировская область;37.30
2017-04-01;Костромская область;28.30
2017-04-01;Краснодарский край;30.30
2017-04-01;Красноярский край;33.70
2017-04-01;Курганская область;36.20
2017-04-01;Курская область;29.30
2017-04-01;Липецкая область;29.80
2017-04-01;Магаданская область;38.20
2017-04-01;Мордовия;22.90
2017-04-01;Москва;40.30
2017-04-01;Мурманская область;47.20
2017-04-01;Нижегородская область;35.00
2017-04-01;Новгородская область;37.40
2017-04-01;Новосибирская область;33.10
2017-04-01;Омская область;33.80
2017-04-01;Оренбургская область;30.70
2017-04-01;Орловская область;33.40
2017-04-01;Пензенская область;30.50
2017-04-01;Пермский край;42.50
2017-04-01;Приморский край;32.90
2017-04-01;Псковская область;36.20
2017-04-01;Республика Башкортостан;35.80
2017-04-01;Республика Бурятия;40.50
2017-04-01;Республика Дагестан;11.20
2017-04-01;Республика Ингушетия;8.90
2017-04-01;Республика Калмыкия;25.60
2017-04-01;Республика Карачаево-Черкессия;17.20
2017-04-01;Республика Карелия;47.80
2017-04-01;Республика Коми;45.70
2017-04-01;Республика Марий Эл;31.80
2017-04-01;Республика Саха (Якутия);33.30
2017-04-01;Республика Северная Осетия-Алания;17.10
2017-04-01;Республика Татарстан;34.00
2017-04-01;Республика Тыва;29.60
2017-04-01;Республика Хакасия;26.10
2017-04-01;Ростовская область;29.90
2017-04-01;Рязанская область;27.00
2017-04-01;Самарская область;34.50
2017-04-01;Санкт-Петербург;41.50
2017-04-01;Саратовская область;33.30
2017-04-01;Сахалинская область;41.10
2017-04-01;Свердловская область;39.10
2017-04-01;Смоленская область;30.30
2017-04-01;Ставропольский край;26.60
2017-04-01;Тамбовская область;23.60
2017-04-01;Тверская область;32.70
2017-04-01;Томская область;42.50
2017-04-01;Тульская область;29.90
2017-04-01;Тюменская область;42.80
2017-04-01;Удмуртская Республика;41.80
2017-04-01;Ульяновская область;28.30
2017-04-01;Хабаровский край;40.20
2017-04-01;Ханты-Мансийский АО - Югра;37.60
2017-04-01;Челябинская область;33.20
2017-04-01;Чеченская Республика;9.00
2017-04-01;Чувашская Республика;28.90
2017-04-01;Чукотский АО;36.10
2017-04-01;Ямало-Ненецкий АО;37.70
2017-04-01;Ярославская область;35.50
2017-05-01;Россия;37.20
2017-05-01;Адыгея;26.00
2017-05-01;Алтай;37.30
2017-05-01;Алтайский край;34.60
2017-05-01;Амурская область;36.10
2017-05-01;Архангельская область;44.20
2017-05-01;Астраханская область;31.50
2017-05-01;Белгородская область;29.30
2017-05-01;Брянская область;27.30
2017-05-01;Владимирская область;29.30
2017-05-01;Волгоградская область;34.30
2017-05-01;Вологодская область;39.40
2017-05-01;Воронежская область;35.70
2017-05-01;Еврейская автономная область;37.20
2017-05-01;Забайкальский край;37.50
2017-05-01;Ивановская область;26.70
2017-05-01;Иркутская область;40.10
2017-05-01;Кабардино-Балкарская Республика;16.30
2017-05-01;Калининградская область;42.80
2017-05-01;Калужская область;32.40
2017-05-01;Камчатский край;37.90
2017-05-01;Кемеровская область;37.20
2017-05-01;Кировская область;38.90
2017-05-01;Костромская область;29.60
2017-05-01;Краснодарский край;31.20
2017-05-01;Красноярский край;34.60
2017-05-01;Курганская область;37.80
2017-05-01;Курская область;31.10
2017-05-01;Липецкая область;31.60
2017-05-01;Магаданская область;37.80
2017-05-01;Мордовия;24.30
2017-05-01;Москва;41.80
2017-05-01;Мурманская область;47.30
2017-05-01;Нижегородская область;36.30
2017-05-01;Новгородская область;38.60
2017-05-01;Новосибирская область;34.00
2017-05-01;Омская область;34.80
2017-05-01;Оренбургская область;31.10
2017-05-01;Орловская область;35.00
2017-05-01;Пензенская область;30.90
2017-05-01;Пермский край;43.30
2017-05-01;Приморский край;33.40
2017-05-01;Псковская область;36.90
2017-05-01;Республика Башкортостан;36.50
2017-05-01;Республика Бурятия;41.50
2017-05-01;Республика Дагестан;11.60
2017-05-01;Республика Ингушетия;8.80
2017-05-01;Республика Калмыкия;27.00
2017-05-01;Республика Карачаево-Черкессия;17.60
2017-05-01;Республика Карелия;49.10
2017-05-01;Республика Коми;46.70
2017-05-01;Республика Марий Эл;33.00
2017-05-01;Республика Саха (Якутия);34.10
2017-05-01;Республика Северная Осетия-Алания;17.80
2017-05-01;Республика Татарстан;35.00
2017-05-01;Республика Тыва;30.10
2017-05-01;Республика Хакасия;27.30
2017-05-01;Ростовская область;31.10
2017-05-01;Рязанская область;28.70
2017-05-01;Самарская область;35.30
2017-05-01;Санкт-Петербург;43.00
2017-05-01;Саратовская область;34.00
2017-05-01;Сахалинская область;41.70
2017-05-01;Свердловская область;40.50
2017-05-01;Смоленская область;31.80
2017-05-01;Ставропольский край;27.50
2017-05-01;Тамбовская область;24.80
2017-05-01;Тверская область;33.90
2017-05-01;Томская область;43.30
2017-05-01;Тульская область;31.60
2017-05-01;Тюменская область;43.60
2017-05-01;Удмуртская Республика;42.80
2017-05-01;Ульяновская область;29.70
2017-05-01;Хабаровский край;40.80
2017-05-01;Ханты-Мансийский АО - Югра;38.60
2017-05-01;Челябинская область;34.40
2017-05-01;Чеченская Республика;9.60
2017-05-01;Чувашская Республика;29.70
2017-05-01;Чукотский АО;36.90
2017-05-01;Ямало-Ненецкий АО;38.50
2017-05-01;Ярославская область;37.00
2017-06-01;Россия;36.00
2017-06-01;Адыгея;25.70
2017-06-01;Алтай;36.90
2017-06-01;Алтайский край;34.00
2017-06-01;Амурская область;35.90
2017-06-01;Архангельская область;42.80
2017-06-01;Астраханская область;30.40
2017-06-01;Белгородская область;29.00
2017-06-01;Брянская область;26.80
2017-06-01;Владимирская область;28.30
2017-06-01;Волгоградская область;33.00
2017-06-01;Вологодская область;38.00
2017-06-01;Воронежская область;33.90
2017-06-01;Еврейская автономная область;36.40
2017-06-01;Забайкальский край;36.60
2017-06-01;Ивановская область;25.80
2017-06-01;Иркутская область;39.40
2017-06-01;Кабардино-Балкарская Республика;16.00
2017-06-01;Калининградская область;40.90
2017-06-01;Калужская область;30.80
2017-06-01;Камчатский край;37.50
2017-06-01;Кемеровская область;36.80
2017-06-01;Кировская область;37.90
2017-06-01;Костромская область;28.40
2017-06-01;Краснодарский край;30.60
2017-06-01;Красноярский край;34.10
2017-06-01;Курганская область;36.50
2017-06-01;Курская область;29.90
2017-06-01;Липецкая область;29.90
2017-06-01;Магаданская область;37.00
2017-06-01;Мордовия;23.90
2017-06-01;Москва;40.00
2017-06-01;Мурманская область;45.60
2017-06-01;Нижегородская область;35.10
2017-06-01;Новгородская область;38.30
2017-06-01;Новосибирская область;33.30
2017-06-01;Омская область;33.90
2017-06-01;Оренбургская область;30.80
2017-06-01;Орловская область;33.20
2017-06-01;Пензенская область;29.50
2017-06-01;Пермский край;42.00
2017-06-01;Приморский край;32.60
2017-06-01;Псковская область;36.80
2017-06-01;Республика Башкортостан;36.20
2017-06-01;Республика Бурятия;40.80
2017-06-01;Республика Дагестан;11.00
2017-06-01;Республика Ингушетия;7.40
2017-06-01;Республика Калмыкия;25.80
2017-06-01;Республика Карачаево-Черкессия;17.60
2017-06-01;Республика Карелия;48.00
2017-06-01;Республика Коми;45.60
2017-06-01;Республика Марий Эл;31.50
2017-06-01;Республика Саха (Якутия);34.10
2017-06-01;Республика Северная Осетия-Алания;17.70
2017-06-01;Республика Татарстан;33.80
2017-06-01;Республика Тыва;29.10
2017-06-01;Республика Хакасия;26.70
2017-06-01;Ростовская область;29.70
2017-06-01;Рязанская область;27.90
2017-06-01;Самарская область;34.60
2017-06-01;Санкт-Петербург;41.70
2017-06-01;Саратовская область;32.90
2017-06-01;Сахалинская область;40.70
2017-06-01;Свердловская область;39.60
2017-06-01;Смоленская область;30.50
2017-06-01;Ставропольский край;26.90
2017-06-01;Тамбовская область;24.30
2017-06-01;Тверская область;32.70
2017-06-01;Томская область;42.80
2017-06-01;Тульская область;29.80
2017-06-01;Тюменская область;42.90
2017-06-01;Удмуртская Республика;41.80
2017-06-01;Ульяновская область;28.60
2017-06-01;Хабаровский край;39.60
2017-06-01;Ханты-Мансийский АО - Югра;38.00
2017-06-01;Челябинская область;33.20
2017-06-01;Чеченская Республика;7.80
2017-06-01;Чувашская Республика;29.10
2017-06-01;Чукотский АО;37.10
2017-06-01;Ямало-Ненецкий АО;38.10
2017-06-01;Ярославская область;35.60
2017-07-01;Россия;36.90
2017-07-01;Адыгея;26.60
2017-07-01;Алтай;37.60
2017-07-01;Алтайский край;35.10
2017-07-01;Амурская область;36.90
2017-07-01;Архангельская область;44.30
2017-07-01;Астраханская область;31.50
2017-07-01;Белгородская область;30.10
2017-07-01;Брянская область;27.60
2017-07-01;Владимирская область;29.30
2017-07-01;Волгоградская область;33.80
2017-07-01;Вологодская область;38.60
2017-07-01;Воронежская область;34.80
2017-07-01;Еврейская автономная область;37.10
2017-07-01;Забайкальский край;38.10
2017-07-01;Ивановская область;26.90
2017-07-01;Иркутская область;40.40
2017-07-01;Кабардино-Балкарская Республика;16.60
2017-07-01;Калининградская область;42.00
2017-07-01;Калужская область;31.80
2017-07-01;Камчатский край;38.90
2017-07-01;Кемеровская область;37.50
2017-07-01;Кировская область;39.20
2017-07-01;Костромская область;29.00
2017-07-01;Краснодарский край;31.70
2017-07-01;Красноярский край;35.10
2017-07-01;Курганская область;37.70
2017-07-01;Курская область;30.90
2017-07-01;Липецкая область;30.70
2017-07-01;Магаданская область;38.00
2017-07-01;Мордовия;25.00
2017-07-01;Москва;40.80
2017-07-01;Мурманская область;46.30
2017-07-01;Нижегородская область;36.00
2017-07-01;Новгородская область;39.30
2017-07-01;Новосибирская область;34.40
2017-07-01;Омская область;35.00
2017-07-01;Оренбургская область;31.80
2017-07-01;Орловская область;34.60
2017-07-01;Пензенская область;30.40
2017-07-01;Пермский край;42.30
2017-07-01;Приморский край;33.60
2017-07-01;Псковская область;37.80
2017-07-01;Республика Башкортостан;36.90
2017-07-01;Республика Бурятия;42.30
2017-07-01;Республика Дагестан;12.30
2017-07-01;Республика Ингушетия;9.30
2017-07-01;Республика Калмыкия;27.10
2017-07-01;Республика Карачаево-Черкессия;17.90
2017-07-01;Республика Карелия;49.10
2017-07-01;Республика Коми;46.50
2017-07-01;Республика Марий Эл;33.40
2017-07-01;Республика Саха (Якутия);35.50
2017-07-01;Республика Северная Осетия-Алания;18.30
2017-07-01;Республика Татарстан;35.00
2017-07-01;Республика Тыва;31.10
2017-07-01;Республика Хакасия;28.40
2017-07-01;Ростовская область;30.30
2017-07-01;Рязанская область;29.10
2017-07-01;Самарская область;35.60
2017-07-01;Санкт-Петербург;42.30
2017-07-01;Саратовская область;33.90
2017-07-01;Сахалинская область;41.90
2017-07-01;Свердловская область;40.50
2017-07-01;Смоленская область;31.50
2017-07-01;Ставропольский край;27.40
2017-07-01;Тамбовская область;25.90
2017-07-01;Тверская область;33.50
2017-07-01;Томская область;43.20
2017-07-01;Тульская область;30.60
2017-07-01;Тюменская область;43.40
2017-07-01;Удмуртская Республика;42.70
2017-07-01;Ульяновская область;29.70
2017-07-01;Хабаровский край;40.40
2017-07-01;Ханты-Мансийский АО - Югра;37.80
2017-07-01;Челябинская область;34.00
2017-07-01;Чеченская Республика;9.90
2017-07-01;Чувашская Республика;30.20
2017-07-01;Чукотский АО;38.30
2017-07-01;Ямало-Ненецкий АО;38.30
2017-07-01;Ярославская область;36.30
2017-08-01;Россия;37.00
2017-08-01;Адыгея;26.70
2017-08-01;Алтай;38.70
2017-08-01;Алтайский край;35.20
2017-08-01;Амурская область;36.80
2017-08-01;Архангельская область;44.40
2017-08-01;Астраханская область;31.50
2017-08-01;Белгородская область;30.70
2017-08-01;Брянская область;28.30
2017-08-01;Владимирская область;29.70
2017-08-01;Волгоградская область;33.70
2017-08-01;Вологодская область;38.50
2017-08-01;Воронежская область;35.40
2017-08-01;Еврейская автономная область;37.50
2017-08-01;Забайкальский край;38.40
2017-08-01;Ивановская область;26.80
2017-08-01;Иркутская область;41.20
2017-08-01;Кабардино-Балкарская Республика;16.50
2017-08-01;Калининградская область;42.10
2017-08-01;Калужская область;32.40
2017-08-01;Камчатский край;38.60
2017-08-01;Кемеровская область;37.90
2017-08-01;Кировская область;39.00
2017-08-01;Костромская область;29.40
2017-08-01;Краснодарский край;31.90
2017-08-01;Красноярский край;35.80
2017-08-01;Курганская область;37.70
2017-08-01;Курская область;31.50
2017-08-01;Липецкая область;31.20
2017-08-01;Магаданская область;38.20
2017-08-01;Мордовия;25.30
2017-08-01;Москва;41.20
2017-08-01;Мурманская область;46.90
2017-08-01;Нижегородская область;36.20
2017-08-01;Новгородская область;39.50
2017-08-01;Новосибирская область;34.20
2017-08-01;Омская область;35.60
2017-08-01;Оренбургская область;31.70
2017-08-01;Орловская область;35.20
2017-08-01;Пензенская область;30.40
2017-08-01;Пермский край;42.20
2017-08-01;Приморский край;33.90
2017-08-01;Псковская область;37.60
2017-08-01;Республика Башкортостан;36.80
2017-08-01;Республика Бурятия;42.70
2017-08-01;Республика Дагестан;11.30
2017-08-01;Республика Ингушетия;8.70
2017-08-01;Республика Калмыкия;27.20
2017-08-01;Республика Карачаево-Черкессия;18.10
2017-08-01;Республика Карелия;48.60
2017-08-01;Республика Коми;46.30
2017-08-01;Республика Марий Эл;33.30
2017-08-01;Республика Саха (Якутия);36.20
2017-08-01;Республика Северная Осетия-Алания;18.30
2017-08-01;Республика Татарстан;34.80
2017-08-01;Республика Тыва;31.50
2017-08-01;Республика Хакасия;29.40
2017-08-01;Ростовская область;30.30
2017-08-01;Рязанская область;29.30
2017-08-01;Самарская область;36.00
2017-08-01;Санкт-Петербург;42.60
2017-08-01;Саратовская область;33.90
2017-08-01;Сахалинская область;41.80
2017-08-01;Свердловская область;40.70
2017-08-01;Смоленская область;32.00
2017-08-01;Ставропольский край;27.20
2017-08-01;Тамбовская область;26.10
2017-08-01;Тверская область;33.70
2017-08-01;Томская область;43.50
2017-08-01;Тульская область;31.30
2017-08-01;Тюменская область;43.80
2017-08-01;Удмуртская Республика;42.50
2017-08-01;Ульяновская область;30.20
2017-08-01;Хабаровский край;40.30
2017-08-01;Ханты-Мансийский АО - Югра;38.30
2017-08-01;Челябинская область;34.40
2017-08-01;Чеченская Республика;9.20
2017-08-01;Чувашская Республика;30.20
2017-08-01;Чукотский АО;37.70
2017-08-01;Ямало-Ненецкий АО;38.60
2017-08-01;Ярославская область;36.30
2017-09-01;Россия;37.70
2017-09-01;Адыгея;27.30
2017-09-01;Алтай;38.80
2017-09-01;Алтайский край;35.60
2017-09-01;Амурская область;37.10
2017-09-01;Архангельская область;44.40
2017-09-01;Астраханская область;32.40
2017-09-01;Белгородская область;31.60
2017-09-01;Брянская область;29.10
2017-09-01;Владимирская область;30.40
2017-09-01;Волгоградская область;34.70
2017-09-01;Вологодская область;39.40
2017-09-01;Воронежская область;36.40
2017-09-01;Еврейская автономная область;37.70
2017-09-01;Забайкальский край;38.80
2017-09-01;Ивановская область;27.40
2017-09-01;Иркутская область;41.50
2017-09-01;Кабардино-Балкарская Республика;17.30
2017-09-01;Калининградская область;42.50
2017-09-01;Калужская область;32.60
2017-09-01;Камчатский край;39.00
2017-09-01;Кемеровская область;38.80
2017-09-01;Кировская область;39.60
2017-09-01;Костромская область;30.60
2017-09-01;Краснодарский край;32.80
2017-09-01;Красноярский край;36.40
2017-09-01;Курганская область;37.70
2017-09-01;Курская область;31.90
2017-09-01;Липецкая область;31.80
2017-09-01;Магаданская область;39.10
2017-09-01;Мордовия;26.20
2017-09-01;Москва;41.70
2017-09-01;Мурманская область;47.80
2017-09-01;Нижегородская область;37.10
2017-09-01;Новгородская область;40.20
2017-09-01;Новосибирская область;34.80
2017-09-01;Омская область;36.20
2017-09-01;Оренбургская область;32.40
2017-09-01;Орловская область;35.60
2017-09-01;Пензенская область;31.10
2017-09-01;Пермский край;42.80
2017-09-01;Приморский край;34.50
2017-09-01;Псковская область;38.10
2017-09-01;Республика Башкортостан;37.90
2017-09-01;Республика Бурятия;42.20
2017-09-01;Республика Дагестан;12.70
2017-09-01;Республика Ингушетия;9.40
2017-09-01;Республика Калмыкия;28.60
2017-09-01;Республика Карачаево-Черкессия;17.90
2017-09-01;Республика Карелия;49.40
2017-09-01;Республика Коми;47.00
2017-09-01;Республика Марий Эл;34.10
2017-09-01;Республика Саха (Якутия);36.40
2017-09-01;Республика Северная Осетия-Алания;19.00
2017-09-01;Республика Татарстан;35.80
2017-09-01;Республика Тыва;32.00
2017-09-01;Республика Хакасия;29.30
2017-09-01;Ростовская область;31.30
2017-09-01;Рязанская область;29.20
2017-09-01;Самарская область;36.80
2017-09-01;Санкт-Петербург;43.20
2017-09-01;Саратовская область;34.80
2017-09-01;Сахалинская область;41.50
2017-09-01;Свердловская область;41.20
2017-09-01;Смоленская область;32.60
2017-09-01;Ставропольский край;28.50
2017-09-01;Тамбовская область;26.40
2017-09-01;Тверская область;34.40
2017-09-01;Томская область;44.70
2017-09-01;Тульская область;31.70
2017-09-01;Тюменская область;44.40
2017-09-01;Удмуртская Республика;42.90
2017-09-01;Ульяновская область;31.00
2017-09-01;Хабаровский край;40.80
2017-09-01;Ханты-Мансийский АО - Югра;39.10
2017-09-01;Челябинская область;34.90
2017-09-01;Чеченская Республика;9.70
2017-09-01;Чувашская Республика;30.90
2017-09-01;Чукотский АО;37.90
2017-09-01;Ямало-Ненецкий АО;38.80
2017-09-01;Ярославская область;36.80
2017-10-01;Россия;38.90
2017-10-01;Адыгея;28.20
2017-10-01;Алтай;38.50
2017-10-01;Алтайский край;36.80
2017-10-01;Амурская область;38.20
2017-10-01;Архангельская область;45.90
2017-10-01;Астраханская область;33.60
2017-10-01;Белгородская область;32.60
2017-10-01;Брянская область;30.30
2017-10-01;Владимирская область;32.00
2017-10-01;Волгоградская область;35.70
2017-10-01;Вологодская область;41.10
2017-10-01;Воронежская область;37.70
2017-10-01;Еврейская автономная область;39.00
2017-10-01;Забайкальский край;39.30
