Дата;Регион;Значение
2017-01-01;Россия;38.90
2017-01-01;Адыгея;28.80
2017-01-01;Алтай;40.10
2017-01-01;Алтайский край;37.40
2017-01-01;Амурская область;37.00
2017-01-01;Архангельская область;45.30
2017-01-01;Астраханская область;34.50
2017-01-01;Белгородская область;29.60
2017-01-01;Брянская область;29.20
2017-01-01;Владимирская область;30.50
2017-01-01;Волгоградская область;37.30
2017-01-01;Вологодская область;39.60
2017-01-01;Воронежская область;36.40
2017-01-01;Еврейская автономная область;40.40
2017-01-01;Забайкальский край;38.30
2017-01-01;Ивановская область;27.20
2017-01-01;Иркутская область;40.80
2017-01-01;Кабардино-Балкарская Республика;17.40
2017-01-01;Калининградская область;43.30
2017-01-01;Калужская область;33.90
2017-01-01;Камчатский край;41.20
2017-01-01;Кемеровская область;36.60
2017-01-01;Кировская область;39.70
2017-01-01;Костромская область;30.80
2017-01-01;Краснодарский край;33.30
2017-01-01;Красноярский край;35.00
2017-01-01;Курганская область;38.80
2017-01-01;Курская область;31.70
2017-01-01;Липецкая область;31.60
2017-01-01;Магаданская область;40.30
2017-01-01;Мордовия;24.70
2017-01-01;Москва;44.80
2017-01-01;Мурманская область;50.10
2017-01-01;Нижегородская область;38.00
2017-01-01;Новгородская область;39.90
2017-01-01;Новосибирская область;34.80
2017-01-01;Омская область;35.90
2017-01-01;Оренбургская область;32.40
2017-01-01;Орловская область;36.70
2017-01-01;Пензенская область;33.80
2017-01-01;Пермский край;45.40
2017-01-01;Приморский край;35.60
2017-01-01;Псковская область;38.90
2017-01-01;Республика Башкортостан;37.70
2017-01-01;Республика Бурятия;42.30
2017-01-01;Республика Дагестан;12.30
2017-01-01;Республика Ингушетия;10.90
2017-01-01;Республика Калмыкия;28.30
2017-01-01;Республика Карачаево-Черкессия;19.10
2017-01-01;Республика Карелия;50.30
2017-01-01;Республика Коми;47.70
2017-01-01;Республика Марий Эл;33.70
2017-01-01;Республика Саха (Якутия);34.10
2017-01-01;Республика Северная Осетия-Алания;20.10
2017-01-01;Республика Татарстан;35.60
2017-01-01;Республика Тыва;30.70
2017-01-01;Республика Хакасия;27.00
2017-01-01;Ростовская область;33.70
2017-01-01;Рязанская область;31.00
2017-01-01;Самарская область;37.00
2017-01-01;Санкт-Петербург;44.50
2017-01-01;Саратовская область;37.30
2017-01-01;Сахалинская область;43.20
2017-01-01;Свердловская область;41.40
2017-01-01;Смоленская область;33.40
2017-01-01;Ставропольский край;29.30
2017-01-01;Тамбовская область;26.10
2017-01-01;Тверская область;35.60
2017-01-01;Томская область;44.00
2017-01-01;Тульская область;32.50
2017-01-01;Тюменская область;45.70
2017-01-01;Удмуртская Республика;43.90
2017-01-01;Ульяновская область;31.30
2017-01-01;Хабаровский край;42.00
2017-01-01;Ханты-Мансийский АО - Югра;39.70
2017-01-01;Челябинская область;35.90
2017-01-01;Чеченская Республика;10.00
2017-01-01;Чувашская Республика;31.60
2017-01-01;Чукотский АО;38.60
2017-01-01;Ямало-Ненецкий АО;39.90
2017-01-01;Ярославская область;38.20
2017-02-01;Россия;36.40
2017-02-01;Адыгея;26.60
2017-02-01;Алтай;37.40
2017-02-01;Алтайский край;34.80
2017-02-01;Амурская область;35.30
2017-02-01;Архангельская область;42.60
2017-02-01;Астраханская область;31.60
2017-02-01;Белгородская область;27.20
2017-02-01;Брянская область;27.30
2017-02-01;Владимирская область;28.00
2017-02-01;Волгоградская область;34.50
2017-02-01;Вологодская область;37.60
2017-02-01;Воронежская область;34.60
2017-02-01;Еврейская автономная область;36.80
2017-02-01;Забайкальский край;37.10
2017-02-01;Ивановская область;25.20
2017-02-01;Иркутская область;38.90
2017-02-01;Кабардино-Балкарская Республика;16.30
2017-02-01;Калининградская область;39.80
2017-02-01;Калужская область;31.60
2017-02-01;Камчатский край;38.80
2017-02-01;Кемеровская область;35.70
2017-02-01;Кировская область;36.80
2017-02-01;Костромская область;28.90
2017-02-01;Краснодарский край;31.20
2017-02-01;Красноярский край;33.60
2017-02-01;Курганская область;36.60
2017-02-01;Курская область;29.70
2017-02-01;Липецкая область;29.90
2017-02-01;Магаданская область;38.00
2017-02-01;Мордовия;23.20
2017-02-01;Москва;41.00
2017-02-01;Мурманская область;46.90
2017-02-01;Нижегородская область;35.60
2017-02-01;Новгородская область;37.60
2017-02-01;Новосибирская область;33.10
2017-02-01;Омская область;34.50
2017-02-01;Оренбургская область;31.40
2017-02-01;Орловская область;34.40
2017-02-01;Пензенская область;31.10
2017-02-01;Пермский край;42.80
2017-02-01;Приморский край;33.90
2017-02-01;Псковская область;35.90
2017-02-01;Республика Башкортостан;36.30
2017-02-01;Республика Бурятия;40.50
2017-02-01;Республика Дагестан;11.40
2017-02-01;Республика Ингушетия;9.00
2017-02-01;Республика Калмыкия;27.30
2017-02-01;Республика Карачаево-Черкессия;16.90
2017-02-01;Республика Карелия;47.90
2017-02-01;Республика Коми;45.40
2017-02-01;Республика Марий Эл;32.40
