Дата;Регион;Значение
2019-02-01;Свердловская область;17.93
2019-02-01;Смоленская область;8.31
2019-02-01;Ставропольский край;20.14
2019-02-01;Тамбовская область;18.53
2019-02-01;Тверская область;12.09
2019-02-01;Томская область;6.31
2019-02-01;Тульская область;7.78
2019-02-01;Тюменская область;10.47
2019-02-01;Удмуртская Республика;10.60
2019-02-01;Ульяновская область;17.22
2019-02-01;Хабаровский край;8.11
2019-02-01;Ханты-Мансийский АО - Югра;10.47
2019-02-01;Челябинская область;10.90
2019-02-01;Чеченская Республика;39.62
2019-02-01;Чувашская Республика;21.72
2019-02-01;Чукотский АО;-15.67
2019-02-01;Ямало-Ненецкий АО;10.47
2019-02-01;Ярославская область;36.24
2019-03-01;Россия;22.21
2019-03-01;Адыгея;35.07
2019-03-01;Алтай;27.00
2019-03-01;Алтайский край;17.54
2019-03-01;Амурская область;27.43
2019-03-01;Архангельская область;13.20
2019-03-01;Астраханская область;14.39
2019-03-01;Белгородская область;20.37
2019-03-01;Брянская область;-2.05
2019-03-01;Владимирская область;18.75
2019-03-01;Волгоградская область;12.38
2019-03-01;Вологодская область;20.32
2019-03-01;Воронежская область;29.94
2019-03-01;Еврейская автономная область;15.52
2019-03-01;Забайкальский край;5.22
2019-03-01;Ивановская область;27.53
2019-03-01;Иркутская область;16.72
2019-03-01;Кабардино-Балкарская Республика;10.33
2019-03-01;Калининградская область;38.50
2019-03-01;Калужская область;22.59
2019-03-01;Камчатский край;3.72
2019-03-01;Кемеровская область;12.95
2019-03-01;Кировская область;27.14
2019-03-01;Костромская область;21.88
2019-03-01;Краснодарский край;33.88
2019-03-01;Красноярский край;29.69
2019-03-01;Курганская область;30.86
2019-03-01;Курская область;25.89
2019-03-01;Ленинградская область;23.77
2019-03-01;Липецкая область;22.52
2019-03-01;Магаданская область;-0.35
2019-03-01;Мордовия;27.05
2019-03-01;Москва;29.63
2019-03-01;Московская область;29.63
2019-03-01;Мурманская область;-2.25
2019-03-01;Нижегородская область;16.65
2019-03-01;Новгородская область;-2.21
2019-03-01;Новосибирская область;25.37
2019-03-01;Омская область;24.07
2019-03-01;Оренбургская область;11.53
2019-03-01;Орловская область;9.94
2019-03-01;Пензенская область;25.52
2019-03-01;Пермский край;18.20
2019-03-01;Приморский край;26.06
2019-03-01;Псковская область;27.18
2019-03-01;Республика Башкортостан;5.71
2019-03-01;Республика Бурятия;21.90
2019-03-01;Республика Дагестан;17.98
2019-03-01;Республика Ингушетия;107.73
2019-03-01;Республика Калмыкия;30.64
2019-03-01;Республика Карачаево-Черкессия;62.07
2019-03-01;Республика Карелия;15.39
2019-03-01;Республика Коми;9.23
2019-03-01;Республика Марий Эл;28.42
2019-03-01;Республика Саха (Якутия);30.02
2019-03-01;Республика Северная Осетия-Алания;46.92
2019-03-01;Республика Татарстан;19.23
2019-03-01;Республика Тыва;26.60
2019-03-01;Республика Хакасия;25.22
2019-03-01;Ростовская область;16.53
2019-03-01;Рязанская область;33.92
2019-03-01;Самарская область;13.09
2019-03-01;Санкт-Петербург;23.77
2019-03-01;Саратовская область;6.34
2019-03-01;Сахалинская область;-15.71
2019-03-01;Свердловская область;26.07
2019-03-01;Смоленская область;11.65
2019-03-01;Ставропольский край;21.56
2019-03-01;Тамбовская область;18.09
2019-03-01;Тверская область;19.57
2019-03-01;Томская область;20.44
2019-03-01;Тульская область;10.87
2019-03-01;Тюменская область;10.86
2019-03-01;Удмуртская Республика;13.35
2019-03-01;Ульяновская область;21.60
2019-03-01;Хабаровский край;12.37
2019-03-01;Ханты-Мансийский АО - Югра;10.86
2019-03-01;Челябинская область;10.49
2019-03-01;Чеченская Республика;53.36
2019-03-01;Чувашская Республика;34.13
2019-03-01;Чукотский АО;-15.51
2019-03-01;Ямало-Ненецкий АО;10.86
2019-03-01;Ярославская область;28.27
2019-04-01;Россия;20.21
2019-04-01;Адыгея;32.92
2019-04-01;Алтай;10.50
2019-04-01;Алтайский край;13.49
2019-04-01;Амурская область;22.11
2019-04-01;Архангельская область;25.49
2019-04-01;Астраханская область;6.73
2019-04-01;Белгородская область;17.94
2019-04-01;Брянская область;-9.81
2019-04-01;Владимирская область;24.94
2019-04-01;Волгоградская область;9.19
2019-04-01;Вологодская область;10.16
2019-04-01;Воронежская область;26.07
2019-04-01;Еврейская автономная область;15.04
2019-04-01;Забайкальский край;11.41
2019-04-01;Ивановская область;23.97
2019-04-01;Иркутская область;7.49
2019-04-01;Кабардино-Балкарская Республика;35.56
2019-04-01;Калининградская область;41.23
2019-04-01;Калужская область;27.32
2019-04-01;Камчатский край;6.83
2019-04-01;Кемеровская область;11.12
2019-04-01;Кировская область;34.10
2019-04-01;Костромская область;23.72
2019-04-01;Краснодарский край;35.02
2019-04-01;Красноярский край;14.34
2019-04-01;Курганская область;31.22
2019-04-01;Курская область;11.49
2019-04-01;Ленинградская область;20.67
2019-04-01;Липецкая область;17.24
2019-04-01;Магаданская область;-4.51
2019-04-01;Мордовия;8.80
2019-04-01;Москва;22.73
2019-04-01;Московская область;22.73
2019-04-01;Мурманская область;1.10
2019-04-01;Нижегородская область;15.70
2019-04-01;Новгородская область;-2.20
2019-04-01;Новосибирская область;27.27
2019-04-01;Омская область;21.41
2019-04-01;Оренбургская область;8.92
2019-04-01;Орловская область;5.94
2019-04-01;Пензенская область;27.70
2019-04-01;Пермский край;15.52
2019-04-01;Приморский край;12.49
2019-04-01;Псковская область;17.20
2019-04-01;Республика Башкортостан;7.96
2019-04-01;Республика Бурятия;16.60
2019-04-01;Республика Дагестан;11.75
2019-04-01;Республика Ингушетия;68.42
2019-04-01;Республика Калмыкия;23.83
2019-04-01;Республика Карачаево-Черкессия;36.04
2019-04-01;Республика Карелия;12.11
2019-04-01;Республика Коми;7.75
2019-04-01;Республика Марий Эл;32.78
2019-04-01;Республика Саха (Якутия);26.35
2019-04-01;Республика Северная Осетия-Алания;50.68
2019-04-01;Республика Татарстан;18.82
2019-04-01;Республика Тыва;8.57
2019-04-01;Республика Хакасия;21.30
2019-04-01;Ростовская область;20.74
2019-04-01;Рязанская область;29.48
2019-04-01;Самарская область;16.02
2019-04-01;Санкт-Петербург;20.67
2019-04-01;Саратовская область;17.58
2019-04-01;Сахалинская область;12.83
2019-04-01;Свердловская область;18.50
2019-04-01;Смоленская область;9.18
2019-04-01;Ставропольский край;18.53
2019-04-01;Тамбовская область;17.24
2019-04-01;Тверская область;19.91
2019-04-01;Томская область;20.59
2019-04-01;Тульская область;17.30
2019-04-01;Тюменская область;17.27
2019-04-01;Удмуртская Республика;14.94
2019-04-01;Ульяновская область;23.37
2019-04-01;Хабаровский край;15.28
2019-04-01;Ханты-Мансийский АО - Югра;17.27
2019-04-01;Челябинская область;9.61
2019-04-01;Чеченская Республика;34.58
2019-04-01;Чувашская Республика;14.27
2019-04-01;Чукотский АО;10.08
2019-04-01;Ямало-Ненецкий АО;17.27
2019-04-01;Ярославская область;25.74
2019-05-01;Россия;24.32
2019-05-01;Адыгея;36.70
2019-05-01;Алтай;67.46
2019-05-01;Алтайский край;28.30
2019-05-01;Амурская область;17.13
2019-05-01;Архангельская область;15.12
2019-05-01;Астраханская область;13.28
2019-05-01;Белгородская область;17.87
2019-05-01;Брянская область;16.22
2019-05-01;Владимирская область;41.29
2019-05-01;Волгоградская область;13.93
2019-05-01;Вологодская область;13.59
2019-05-01;Воронежская область;31.90
2019-05-01;Еврейская автономная область;20.69
2019-05-01;Забайкальский край;6.43
2019-05-01;Ивановская область;31.80
2019-05-01;Иркутская область;6.64
2019-05-01;Кабардино-Балкарская Республика;30.40
2019-05-01;Калининградская область;29.64
2019-05-01;Калужская область;29.54
2019-05-01;Камчатский край;14.31
2019-05-01;Кемеровская область;24.00
2019-05-01;Кировская область;36.83
2019-05-01;Костромская область;38.09
2019-05-01;Краснодарский край;31.29
2019-05-01;Красноярский край;23.01
2019-05-01;Курганская область;33.94
2019-05-01;Курская область;25.90
2019-05-01;Ленинградская область;24.38
2019-05-01;Липецкая область;40.52
2019-05-01;Магаданская область;-4.74
2019-05-01;Мордовия;29.38
2019-05-01;Москва;16.11
2019-05-01;Московская область;16.11
2019-05-01;Мурманская область;5.69
2019-05-01;Нижегородская область;32.80
2019-05-01;Новгородская область;7.27
2019-05-01;Новосибирская область;24.11
2019-05-01;Омская область;21.48
2019-05-01;Оренбургская область;15.66
2019-05-01;Орловская область;16.68
2019-05-01;Пензенская область;27.64
2019-05-01;Пермский край;18.45
2019-05-01;Приморский край;23.79
2019-05-01;Псковская область;21.06
2019-05-01;Республика Башкортостан;10.87
2019-05-01;Республика Бурятия;19.44
2019-05-01;Республика Дагестан;17.79
2019-05-01;Республика Ингушетия;27.15
2019-05-01;Республика Калмыкия;29.54
2019-05-01;Республика Карачаево-Черкессия;57.50
2019-05-01;Республика Карелия;18.02
2019-05-01;Республика Коми;7.62
2019-05-01;Республика Марий Эл;37.67
2019-05-01;Республика Саха (Якутия);21.55
2019-05-01;Республика Северная Осетия-Алания;60.62
2019-05-01;Республика Татарстан;22.71
2019-05-01;Республика Тыва;27.22
2019-05-01;Республика Хакасия;32.96
2019-05-01;Ростовская область;21.46
2019-05-01;Рязанская область;38.82
2019-05-01;Самарская область;20.38
2019-05-01;Санкт-Петербург;24.38
2019-05-01;Саратовская область;22.43
2019-05-01;Сахалинская область;8.02
2019-05-01;Свердловская область;19.09
2019-05-01;Смоленская область;26.64
2019-05-01;Ставропольский край;27.94
2019-05-01;Тамбовская область;34.82
2019-05-01;Тверская область;34.44
2019-05-01;Томская область;27.18
2019-05-01;Тульская область;26.65
2019-05-01;Тюменская область;19.83
2019-05-01;Удмуртская Республика;21.19
2019-05-01;Ульяновская область;27.02
2019-05-01;Хабаровский край;9.39
2019-05-01;Ханты-Мансийский АО - Югра;19.83
2019-05-01;Челябинская область;14.75
2019-05-01;Чеченская Республика;24.40
2019-05-01;Чувашская Республика;13.50
2019-05-01;Чукотский АО;-12.28
2019-05-01;Ямало-Ненецкий АО;19.83
2019-05-01;Ярославская область;42.00
2019-06-01;Россия;9.61
2019-06-01;Адыгея;32.03
2019-06-01;Алтай;12.90
2019-06-01;Алтайский край;-2.98
2019-06-01;Амурская область;29.41
2019-06-01;Архангельская область;6.86
2019-06-01;Астраханская область;8.61
2019-06-01;Белгородская область;-8.01
2019-06-01;Брянская область;-5.93
2019-06-01;Владимирская область;20.60
